id;gender;yearofstudy;outdegree;indegree;popular;averageChar;dayactive;send.day34th.friends;send.friends
1;1;4;33;25;58;110.210784313725;1;61;34
2;1;1;0;5;5;1;4;4;1
3;2;3;175;41;216;128.385915492958;1;90;176
4;2;4;0;1;1;1;5;5;1
5;1;5;1;0;1;33.5;6;6;2
6;1;1;45;49;94;111.452991452991;6;28;46
7;1;2;0;5;5;1;6;6;1
8;2;3;28;62;90;92.75;6;77;29
9;1;1;237;53;290;84.8745421245421;6;47;238
10;1;2;1;2;3;11.5;6;6;2
11;2;2;0;3;3;1;6;6;1
12;1;3;141;33;174;40.5674044265594;6;43;142
13;2;2;0;3;3;1;6;6;1
14;1;1;0;3;3;1;6;6;1
15;2;4;0;4;4;1;2;2;1
16;1;1;0;1;1;1;6;6;1
17;1;2;0;2;2;1;6;6;1
18;1;6;0;2;2;1;6;6;1
19;1;6;105;27;132;36.0111111111111;6;37;106
20;2;2;2;6;8;54.1666666666667;6;7;3
21;1;2;0;2;2;1;7;7;1
22;1;1;0;3;3;1;6;6;1
23;1;3;0;2;2;1;6;6;1
24;1;3;0;1;1;1;7;7;1
25;2;4;1;2;3;14.5;7;7;2
26;1;6;15;18;33;86.8703703703704;6;41;16
27;2;4;48;40;88;330.565693430657;6;85;49
28;1;3;0;1;1;1;7;7;1
29;1;3;18;13;31;164.142857142857;7;42;19
30;2;1;13;15;28;111.432432432432;7;35;14
31;1;1;0;1;1;1;7;7;1
32;1;3;182;137;319;61.7445414847162;6;59;183
33;2;1;0;3;3;1;7;7;1
34;1;3;37;40;77;182.689655172414;6;24;38
35;2;2;0;2;2;1;7;7;1
36;2;4;86;16;102;126.585820895522;6;24;87
37;1;4;0;1;1;1;7;7;1
38;1;5;37;6;43;32.5479876160991;6;19;38
39;2;2;0;7;7;1;8;8;1
40;2;1;0;2;2;1;8;8;1
41;1;1;178;55;233;60.7099644128114;6;28;179
42;1;4;160;120;280;91.507204610951;8;46;161
43;2;2;1;3;4;12.5;8;8;2
44;2;4;67;25;92;128.39880952381;6;39;68
45;1;4;0;1;1;1;8;8;1
46;1;3;1;4;5;18.5;8;8;2
47;1;3;5;5;10;52.875;8;24;6
48;1;2;35;48;83;106.880434782609;7;37;36
49;2;3;0;1;1;1;8;8;1
50;1;1;34;45;79;101.027397260274;8;41;35
51;1;6;43;33;76;45.259842519685;8;19;44
52;2;2;31;46;77;64.4576271186441;8;47;32
53;1;1;66;10;76;62.1754385964912;8;44;67
54;1;1;2;3;5;226.333333333333;8;21;3
55;1;4;0;2;2;1;8;8;1
56;2;4;12;14;26;50.5333333333333;8;10;13
57;1;5;6;4;10;167.176470588235;8;23;7
58;2;2;4;28;32;36.4;8;13;5
59;2;1;0;18;18;1;8;8;1
60;1;1;15;20;35;78.6904761904762;6;40;16
